data,catalyst,catalyst content,promote,promote content,preparation method, calcTemperature,calc Time,red Temperature,red Time,red H2,support1,support1_content,support2,support2_content,react Temperature,reac CH4,reac CO2,reac1,reac1_content,GHSV ,Time on stream,CH4 Conversion
1,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,600,50,50,NULL,0,4,60,20.907
2,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,650,50,50,NULL,0,4,60,35.6009
3,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,700,50,50,NULL,0,4,60,53.5601
4,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,75.873
5,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,800,50,50,NULL,0,4,60,89.4785
6,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,600,50,50,NULL,0,4,60,38.5034
7,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,650,50,50,NULL,0,4,60,58.2766
8,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,700,50,50,NULL,0,4,60,76.9615
9,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,89.8413
10,Ni,5,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,800,50,50,NULL,0,4,60,96.1905
11,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,600,50,50,NULL,0,4,60,45.034
12,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,650,50,50,NULL,0,4,60,62.9932
13,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,700,50,50,NULL,0,4,60,80.0454
14,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,90.7483
15,Ni,7,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,800,50,50,NULL,0,4,60,94.195
16,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,600,50,50,NULL,0,4,60,48.2993
17,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,650,50,50,NULL,0,4,60,65.1701
18,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,700,50,50,NULL,0,4,60,80.5896
19,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,90.5669
20,Ni,10,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,800,50,50,NULL,0,4,60,96.1905
21,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,600,50,50,NULL,0,4,60,44.3084
22,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,650,50,50,NULL,0,4,60,64.0816
23,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,700,50,50,NULL,0,4,60,77.8685
24,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,89.6599
25,Ni,15,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,800,50,50,NULL,0,4,60,94.3764
26,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,4,60,76.0164
27,Ni,3,0,0,Incipient to wetness impregnation,700,5,800,2,33.33333333,Mesoporous Al2O3 (MAl),1,0,0,750,50,50,NULL,0,2,60,58.8369
