Family , Metal Loading [wt.%],CR Metal [pm], Support 1,MW Support 1 [g mol-1],Name of Support2,MW of Support 2 [g mol-1],Name of Support 3,MW Support 3 [g mol-1],Total MW of Support [g mol-1], Promoter 1,Promoter 1 loading [wt.%],Promoter 2,Promoter 2 loading [wt.%],Calcination Temperature [K],Calcination duration [h],SBET [m2 g-1],H2/CO2 [-],GHSV [cm3 h-1 gcat-1],Catalyst amount [g],Pressure [Mpa],Temperature [K],STY [mgh-1 g-1],
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,115500,0.5,6,598,2620,DOI: 10.1126/sciadv.abi6012
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,8,94500,0.5,6,598,2400,DOI: 10.1126/sciadv.abi6012
Cu,36.5,138,ZnO,81.38,0,0,SBA-15,60,141.38,Mn,2.7,0,0,573,4,218,3,120000,0.02,4,453,2233.6,https://doi.org/10.1016/j.ijhydene.2018.03.202
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,115500,0.5,4,598,2230,DOI: 10.1126/sciadv.abi6012
Cu,36.5,138,ZnO,81.38,SBA-15,60,0,0,141.38,Mn,2.7,0,0,773,5,218,3,60000,0.04,4,453,2224,https://doi.org/10.1016/j.jiec.2017.12.053
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,8,94500,0.5,4,598,2090,DOI: 10.1126/sciadv.abi6012
Cu,20.5,138,ZnO,81.38,Al2O3,101.96,0,0,183.34,0,0,0,0,673,4,125,10,19200,0.17,3.6,533,1990,https://doi.org/10.1016/j.jcat.2013.09.005
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,6,73500,0.5,6,598,1980,DOI: 10.1126/sciadv.abi6012
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,6,73500,0.5,4,598,1830,DOI: 10.1126/sciadv.abi6012
Cu,24.4,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,245,16.5,30000,1,4,533,1804.8,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,37,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,773,5,228,3,60000,0.04,4,453,1609.6,https://doi.org/10.1016/j.jiec.2017.12.053
Cu,18.9,138,ZnO,81.38,SBA-15,60,0,0,141.38,0,0,0,0,623,4,245,16.5,30000,1,4,533,1536,https://doi.org/10.1016/j.cattod.2013.03.005
Cu,36.7,138,ZnO,81.38,0,0,MCF,60,141.38,Mn,2.8,0,0,573,4,147,3,120000,0.02,4,453,1532.8,https://doi.org/10.1016/j.ijhydene.2018.03.202
Cu,39.5,138,SBA-15,60,0,0,0,0,60,Mn,10,0,0,773,5,255,3,60000,0.04,4,453,1465.6,https://doi.org/10.1016/j.jiec.2017.12.053
Cu,45,138,SBA-15,60,0,0,0,0,60,0,0,0,0,773,5,228,3,60000,0.04,4,453,1369.6,https://doi.org/10.1016/j.jiec.2017.12.053
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,3,42000,0.5,4,598,1350,DOI: 10.1126/sciadv.abi6012
Cu,75,138,ZnO,81.38,0,0,0,0,81.38,0,0,0,0,773,5,2.92,3,60000,0.04,4,453,1193.6,https://doi.org/10.1016/j.jiec.2017.12.053
Pd,5,131,MCM-15,60,0,0,0,0,60,Cu,9,0,0,623,3,1102,3,3600,0.2,4.1,523,1102,https://doi.org/10.1016/j.apcatb.2015.01.010
In2O3,4.4,144,Fe3O4,159.69,0,0,0,0,159.69,Ni ,6.8,0,0.2,623,2,9,10,36000,0.5,6,598,1090,DOI: 10.1126/sciadv.abi6012
Cu,3.33,138,CeO2,172.12,0,0,0,0,172.12,Ni ,6.67,0,0,723,4,33.6,3,108000,0.1,3,513,1078.72,https://doi.org/10.1021/acs.iecr.8b01246
